NOM_ENT,POB15,POB16,POB17,POB18,POB19,POB20,POB21,POB22
Aguascalientes,1331825,1355321,1375782,1395794,1415421,1434635,1453452,1471859
Baja California,3357794,3403335,3462872,3521242,3578561,3634868,3690160,3744415
Baja California Sur,719846,736995,754270,771294,788119,804708,821059,837168
Campeche,916832,933436,950458,967319,984046,1000617,1017011,1033223
Chiapas,5307819,5393944,5479352,5563869,5647532,5730367,5812375,5893520
Chihuahua,3616481,3649416,3689398,3727984,3765325,3801487,3836506,3870381
Ciudad de México,9058734,9053990,9049086,9041395,9031213,9018645,9003827,8986774
Coahuila de Zaragoza,3000556,3043062,3087852,3132017,3175643,3218720,3261259,3303220
Colima,721696,734663,747603,760333,772842,785153,797245,809115
Durango,1781575,1801963,1819494,1836460,1852952,1868996,1884622,1899856
Guanajuato,5930618,5997487,6058569,6117205,6173718,6228175,6280645,6331142
Guerrero,3576592,3597311,3614241,3629733,3643974,3657048,3668973,3679821
Hidalgo,2899495,2938756,2976979,3014258,3050720,3086414,3121355,3155581
Jalisco,7963314,8055955,8149170,8238991,8325800,8409693,8490806,8569204
Michoacán de Ocampo,4644732,4684829,4721848,4757482,4791977,4825401,4857777,4889123
Morelos,1930505,1954717,1977946,2000527,2022568,2044058,2065014,2085423
México,16453628,16658503,16861082,17056666,17245551,17427790,17603429,17772460
Nayarit,1195482,1214627,1233716,1252363,1270646,1288571,1306145,1323404
Nuevo León,5205425,5294203,5375246,5454848,5533147,5610153,5685888,5760358
Oaxaca,4019224,4046494,4072328,4096998,4120741,4143593,4165619,4186832
Puebla,6274482,6345952,6413391,6478819,6542484,6604451,6664764,6723431
Querétaro,2069556,2113731,2156167,2197938,2239112,2279637,2319537,2358758
Quintana Roo,1524873,1564920,1605362,1645237,1684541,1723259,1761389,1798913
San Luis Potosí,2758239,2781457,2803692,2825157,2845959,2866142,2885705,2904652
Sinaloa,3015790,3049383,3077430,3104610,3131012,3156674,3181609,3205838
Sonora,2884754,2922666,2961810,3000127,3037752,3074745,3111119,3146894
Tabasco,2426269,2457373,2486932,2515926,2544372,2572287,2599658,2626490
Tamaulipas,3494719,3527104,3559268,3590486,3620910,3650602,3679623,3708008
Tlaxcala,1295194,1314415,1331372,1347932,1364147,1380011,1395545,1410744
Veracruz de Ignacio de la Llave,8241248,8316599,8376971,8434163,8488447,8539862,8588469,8634299
Yucatán,2128802,2155883,2182255,2208236,2233866,2259098,2283943,2308370
Zacatecas,1601701,1616675,1629789,1642388,1654593,1666426,1677911,1689080
