,Variable,Valor
0,Total anual,6860
1,Entidad,Entidad_%
2,MÃ©xico,13.7
3,Chihuahua,7.1
4,Guanajuato,6.3
5,Escolaridad,Escolaridad_%
6,Secundaria completa,28.2
7,Primaria completa,22.9
8,No especificado,18.5
9,Lugar,Lugar_%
10,via pÃºblica,71.7
11,Embarazo,Embarazo_%
12,No especificado ,56.6
13,No estuvo embarazada,26.9
14,Area Urbana,Area Urbana_%
15,Urbano,77.5
16,Violencia Familiar,Violencia Familiar_%
17,Hubo violencia familiar,1.5
18,Edad Agrupada,Edad Agrupada_%
19,De 20 a 24 aÃ±os,14.5
20,De 25 a 29 aÃ±os,13.1
21,De 30 a 34 aÃ±os,11.6
22,Ocupación,Ocupación_%
23,No trabaja,47.2
24,Ocupaciones insuficientemente especificadas,14.4
25,OcupaciÃ³n no especificada,11.1
26,Parentesco c/agresor,Parentesco c/agresor_%
27,no especificado,97.8
28,familia nuclear,1.5
29,72,0.5
